authorname,count
Alain Gagnon,2
Elias Nosrati,2
Setsuya Fukuda,2
Xingqiang Lü,2
Cássio M. Turra,2
Heidi E. Jones,2
Levi Waldron,2
Andrea Nigri,2
Marie-Pier Bergeron-Boucher,2
Bárbara Domingues Bitarello,2
Robert A. Hummer,2
Lora J. Kasselman,2
Rafael Ahlskog,2
Michael Marmot,2
David Salisbury,2
Jessica D. Faul,2
Emily A. Willoughby,2
Alexandros Giannelis,2
Jane Menken,2
Cohen R. Simpson,2
Ole A. Andreassen,2
Helga Ask,2
Elizabeth C. Corfield,2
Pietro Battiston,2
Pål R. Njølstad,2
Camilla Stoltenberg,2
James J. Lee,2
Sven Oskarsson,2
Amanda Hughes,2
Jeffrey G. Reid,2
John D. Overton,2
Chiara Falco,2
Katrin Schwanitz,2
Aris Baras,2
Douch Kong,2
Valeria Spelta,2
Shoshana V. Aronowitz,2
Enid Schatz,2
Samuel J. Clark,2
F. Xavier Gómez‐Olivé,2
Xavier Varea,1
Alyce Raybould,1
M. Mercè Claramunt Bielsa,1
Pietro Rampazzo,1
ross barker,1
Claire J. Steves,1
Raya Muttarak,1
Hampton Gray Gaddy,1
Henrik-Alexander Schubert,1
Anna Dimitrova,1
Adrian Hopper,1
Nathan J. Cheetham,1
Jugdeep Dhesi,1
Yoav Roll,1
Wei Chen,1
Anders Boyd,1
Jane Greve,1
Harry L.A. Janssen,1
Natalie Nitsche,1
Julia Callaway,1
Marco Cozzani,1
L. Cheng,1
Yao Lu,1
Marleen van Dijk,1
Cas J. Isfordink,1
Matvei Andersen,1
Rosan A van Zoest,1
Robert J. de Knegt,1
Joost P.H. Drenth,1
Marc van der Valk,1
Mobarak Hossain,1
Marianne K. Thomsen,1
Katarzyna Doniec,1
Muntasir Marey,1
Wen Su,1
Ryohei Masum,1
Mélanie Kühn,1
Chia Lépori,1
Andrea J. Liu,1
Mădălina Lozer,1
Lilian Manea,1
Nan Dirk de Graaf,1
Céline Mogi,1
Yan Zheng,1
J Diaconu,1
Viorela Delgado,1
Gonzalo De Armas,1
Gonzalo Cimentada,1
Pippa Oakeshott,1
Aneez Esmail,1
Alison Faulkner,1
M. I. Kolobova,1
Dagnon Hecker,1
Irwin González-Díaz,1
Armando M Garcia-Guerrero,1
Mariana García Crisóstomo,1
Mariana Gagnon,1
Payal Hathi,1
Antonia Dudel,1
Christian Donzowa,1
Marina Eric Koba,1
Paul Sharp,1
Stefan Ecks,1
Flora Cornish,1
David Atance,1
Oleguer Plana‐Ripoll,1
Nanna Weye,1
Jacob Martin,1
Wole A. Adewole,1
Jakub Bijak,1
Delia Boccia,1
Helen Margetts,1
Kasimir Dederichs,1
S E Hayward,1
Helen A. Fletcher,1
Laura B Nellums,1
Fatima Wurie,1
Timon Elmer,1
Zhen He,1
Jouni Kuha,1
Patrick Sturgis,1
Nicolo P. Pinchak,1
Veline L' Esperance,1
Nicole Nisbett,1
Viktoria Spaiser,1
Deborah Morgan,1
Matthew Reynolds,1
Daniel Valdenegro,1
Yan Liu,1
Nick Manning,1
Richard P. Bentall,1
Kamaldeep Bhui,1
Rochelle Burgess,1
Sarah Carr,1
Isabel J. Raabe,1
REF LCDS Project Team,1
Francisco Pinto,1
Søren Kjærgaard,1
Ivaylo Petev,1
Micol Matilde Morellini,1
Brandon Victor,1
Aiden Nibali,1
Tristan E. Coram,1
David Judge,1
Helen Kosc,1
Joseph Millard,1
Joshua R. Goldstein,1
Anmol Somanchi,1
Sangita Vyas,1
Bettina Hünteler,1
Claudia Finger,1
Heike Solga,1
Maria Osborne,1
Radhika Kapoor,1
Poonam Gupta,1
Steffi Pohl,1
R. Philip Chalmers,1
Mijke Rhemtulla,1
Lijin Zhang,1
Esther Ulitzsch,1
Zhiyong Zhang,1
Vipul Kumar Paikra,1
Murad Banaji,1
Athina Anastasiadou,1
Hyunju Park,1
Artëm Volgin,1
Till Koebe,1
Theophilus Aidoo,1
Ahmadou Dicko,1
Hisham Galal,1
Rebeca Moreno Jiménez,1
Sarchil Qader,1
Philip Clarke,1
Kasisomayajula Viswanath,1
Warren C. Jochem,1
Patrick Präg,1
John Mohan,1
Josh Knight,1
Sara Koskelainen,1
Charles Shey Wiysonge,1
Virginia Williams,1
Will Jennings,1
Christopher Dye,1
Albert Esteve,1
Joan García Román,1
Yen‐hsin Alice Cheng,1
Wanli Nie,1
Hyun-ok Lee,1
Chloe Mirzayi,1
Dana A. Glei,1
Sally Sheard,1
Richard W. Wrangham,1
Richard R. Lawler,1
Zarin Machanda,1
Marie L. Manguette,1
Martin N. Muller,1
Craig Packer,1
Reham Al Tamime,1
Genevra Richardson,1
Gerry Stoker,1
Fatima Zohra,1
Shammi Luhar,1
Gilles Pison,1
Jeroen Smits,1
Kelly Eckenrode,1
Shaimaa Elsafoury,1
Jonas Sivelä,1
Alex Ruck Keene,1
Martyn Pickersgill,1
James B. Kirkbride,1
Martín Knapp,1
Anne M. Lovell,1
Paul Martin,1
Joanna Moncrieff,1
Hester Parr,1
Richard J. Parnell,1
Susan Perry,1
Anne E. Pusey,1
Dalia A. Conde,1
Fernando Colchero,1
Elizabeth A. Archie,1
Christophe Boesch,1
Thomas Breuer,1
Fernando A. Campos,1
Anthony Collins,1
Marina Cords,1
Martha M. Robbins,1
Catherine Crockford,1
Melissa Emery Thompson,1
Linda M. Fedigan,1
Claudia Fichtel,1
Milou Groenenberg,1
Simone Spinelli,1
Caspar Kaiser,1
Connor Gilroy,1
Florianne C. J. Verkroost,1
Magali Barbiéri,1
Catherine Hobaiter,1
Andres Barajas-Paz,1
Peter M. Kappeler,1
Rebecca J. Lewis,1
Roman M. Wittig,1
Jenny Tung,1
Shirley C. Strum,1
Karen B. Strier,1
Emma J. Stokes,1
Tara S. Stoinski,1
Johanna Staerk,1
Joan B. Silk,1
Robert M. Seyfarth,1
Bernardo Lanza Queiroz,1
Júlia Almeida Calazans,1
Silvia Rizzi,1
Garry Robins,1
Fumiya Trias-Llimos,1
Alyson Uchikoshi,1
Paola van Raalte,1
Muhammad A Vilela,1
Iván Ali Waqar,1
Zarulli,1
Ashley Z. Ritter,1
Erez Sasson,1
Lauren Hale,1
Lydia Feinstein,1
Emma Zang,1
Belinda L. Needham,1
Helen C.S. Meier,1
Frederikke Frehr Kristensen,1
Sergi Torres,1
Cosmo Silva-Ramirez,1
Jiaxin Shomron,1
Mikko Musizvingoza,1
Ronald Morwinsky,1
Saskia Monicolle,1
Jorge Choi,1
E Fernández Bretón,1
Didier Bignami,1
Simona Basellini,1
Ugofilippo Alustiza,1
Anna Altová,1
Lawrence McKay,1
Daniel Devine,1
Jennifer Gaskell,1
Viktor Orri Valgarðsson,1
Hannah Willis,1
Rafael Shi,1
Marília Myrskylä,1
Jesús-Adrián Álvarez,1
Francine Z. Marques,1
Mohammad S Razai,1
Susan C. Alberts,1
Klaus Zuberbühler,1
Ludwig Geistlinger,1
Janneke van de Wijgert,1
Amy Loughman,1
Nicola Segata,1
Isaac R Sarhan,1
Curtis Huttenhower,1
Tune H. Pers,1
Manuela Stranges,1
Ádám Lénárt,1
Anders Stockmarr,1
Søren Kjæ rgaard,1
Adil Rowe,1
Francisco Rizzi,1
Silvia Carreira Ribeiro,1
Filipe Rehermann,1
Federico Qanni,1
Larbi Pollero,1
Raquel Piriz,1
Manuel D Pascariu,1
Marius Paredes,1
Mariana Ouedraogo,1
S. Ouédraogo,1
Oluwafunke Olamijuwon,1
Emmanuel Oladele,1
Samuel Oksuzyan,1
Anna Nitsche,1
Natalie Nickel,1
Michelle R Nepomuceno,1
Nikolas Rose,1
Michael J. Thomas,1
Xavier Monnet,1
Claudia Langenberg,1
David R. Weir,1
Gonneke Willemsen,1
Jing Hau Zhao,1
Wei Zhao,1
Yajie Zhao,1
Anubha Mahajan,1
Jian’an Luan,1
Mélanie Waldenberger,1
Philipp M. Lersch,1
C. L. Paul Thomas,1
P. S. Monks,1
Christopher Brightling,1
Neil Greening,1
Salman Siddiqui,1
Nicholas J. Wareham,1
André G. Uitterlinden,1
Beverley Hargadon,1
Sharon LR Kardia,1
Unnur Þorsteinsdóttir,1
Vallari Shukla,1
Stasa Stankovic,1
Kári Stéfansson,1
Doris Stöckl,1
Konstantin Strauch,1
Morris A. Swertz,1
Yung‐Po Liaw,1
Alexander Teumer,1
Guðmar Þorleifsson,1
Reedik Mägi,1
Roy Thurik,1
